Date,Open,High,Low,Close,Volume,Adj Close
1993-06-04,84.875131,86.500127,84.75012,86.12512,1363400,41.028642
1993-06-03,83.500119,86.000128,83.500119,85.125128,1785200,40.552262
1993-06-02,83.375127,84.500124,83.00012,84.375119,1119200,40.19497
1993-06-01,82.000115,84.75012,81.875123,83.625124,1716500,39.837684
1993-05-28,82.250112,82.250112,79.625111,81.000123,1328800,38.587175
1993-05-27,83.00012,83.375127,82.000115,82.250112,1381700,39.18265
1993-05-26,79.750115,82.875115,79.375114,82.625119,1869600,39.361297
1993-05-25,80.000118,80.250115,78.750111,78.750111,857000,37.515305
1993-05-24,77.87511,80.125123,77.750118,80.125123,1235400,38.170339
1993-05-21,79.250122,79.250122,76.875118,77.87511,1167600,37.098468
1993-05-20,80.375119,80.500111,78.750111,79.375114,1385200,37.813046
1993-05-19,79.250122,80.375119,78.125107,80.125123,2344400,38.170339
1993-05-18,76.250114,78.750111,76.250114,78.000115,2155600,37.158019
1993-05-17,75.375114,76.000099,75.375114,75.875113,1219200,36.145702
1993-05-14,74.125113,74.875102,73.750106,74.75011,1274100,35.609768
1993-05-13,75.625111,75.750102,73.87511,74.375109,1735600,35.431123
1993-05-12,76.250114,76.875118,75.625111,76.000099,1509200,36.205243
1993-05-11,77.250107,77.750118,76.250114,77.125115,1809400,36.741182
1993-05-10,76.875118,78.000115,76.375106,77.250107,1473400,36.800726
1993-05-07,76.250114,77.125115,75.625111,76.500111,1756300,36.44344
1993-05-06,77.250107,77.375117,76.250114,76.625103,1878900,36.502985
1993-05-05,75.000113,77.500103,74.625106,77.375117,3646800,36.86028
1993-05-04,74.125113,75.625111,74.125113,75.25011,1918300,35.84796
1993-05-03,73.00011,74.75011,72.375106,74.000102,1447500,35.252476
1993-04-30,72.500098,73.500109,71.750109,73.00011,1366300,34.776095
1993-04-29,70.125094,72.625109,70.125094,72.250101,1968600,34.418803
1993-04-28,69.250093,70.625106,69.250093,70.125094,1060000,33.406483
1993-04-27,69.125108,70.125094,68.625096,69.750105,1680700,33.227845
1993-04-26,71.500106,72.000105,68.625096,69.125108,2131700,32.930106
1993-04-23,72.000105,72.250101,70.500101,70.625106,2485000,33.644681
1993-04-22,71.500106,73.500109,71.375101,72.500098,1601100,34.537898
1993-04-21,72.375106,73.375098,71.875094,72.12511,1573200,34.359259
